>contig_1
1	1918	-	2	1.140492	I:642,	D:289,
161141	161725	+	2	1.170232	I:	D:
161812	163968	-	1	1.104673	I:	D:
163987	164235	+	1	1.185805	I:	D:
164339	164773	+	2	1.234008	I:	D:
165148	166185	+	1	1.312443	I:	D:
166363	166956	+	1	1.153549	I:	D:
167024	167326	-	2	1.158144	I:	D:
167518	168998	+	1	1.135865	I:	D:168026,
169060	171462	+	1	1.168265	I:	D:
171703	172935	+	1	1.169842	I:	D:
172939	173982	+	1	1.170491	I:	D:
173984	175342	+	2	1.132029	I:	D:
175345	176748	+	1	1.117482	I:	D:
176777	176902	+	2	1.307635	I:	D:
176922	178961	-	3	1.150041	I:	D:
179137	180558	-	1	1.131024	I:	D:
180570	180680	-	3	1.289935	I:	D:
180761	182098	+	2	1.141691	I:	D:
182152	184257	+	1	1.140810	I:	D:
184395	184733	+	3	1.189170	I:	D:
184820	185683	-	2	1.206784	I:	D:
185718	186231	-	3	1.263955	I:186066,	D:
186314	187519	-	2	1.129294	I:	D:
187693	191729	+	1	1.149727	I:	D:190302,
191792	192304	-	2	1.181625	I:	D:
192316	194684	-	1	1.195650	I:	D:194598,
194747	194914	-	2	1.241850	I:	D:
194922	199191	-	3	1.145743	I:198788,198808,	D:195685,196268,197271,198197,
199193	200081	-	2	1.179747	I:199659,	D:
200157	200603	-	3	1.114550	I:	D:
200642	200758	-	2	1.253441	I:	D:
200853	202847	+	3	1.131871	I:	D:
202868	203047	+	2	1.142162	I:	D:
203084	205264	+	2	1.161948	I:	D:
205367	206269	-	2	1.143546	I:	D:
206375	208003	+	2	1.157979	I:	D:
208077	211540	+	3	1.146555	I:209598,210654,210729,	D:209586,
211546	214071	+	1	1.147656	I:213412,	D:213448,
214237	214836	+	1	1.163911	I:	D:
214962	217141	+	3	1.134419	I:	D:215656,
217224	217844	-	3	1.187529	I:	D:
217846	218705	+	1	1.171134	I:217961,217973,	D:
218795	219700	-	2	1.200387	I:	D:
220034	221209	+	2	1.127049	I:	D:
221224	225893	+	1	1.138616	I:	D:224394,
225975	226226	-	3	1.177911	I:	D:
226369	226992	-	1	1.175357	I:	D:
227206	227937	+	1	1.182651	I:	D:
227997	230063	-	3	1.136363	I:	D:
230286	231137	-	3	1.145128	I:	D:
231193	233597	-	1	1.178240	I:	D:231821,
233997	236705	+	3	1.167831	I:	D:
236718	238394	+	3	1.130513	I:	D:
238407	240179	+	3	1.126296	I:	D:
240450	241223	+	3	1.145308	I:	D:
241378	242286	+	1	1.167225	I:	D:
242400	242594	-	3	1.187568	I:	D:
242712	243581	-	3	1.198597	I:	D:
243985	245772	-	1	1.282501	I:	D:
245965	247757	-	1	1.300145	I:	D:247581,
247772	248533	-	2	1.174189	I:	D:
249040	249288	+	1	1.229440	I:	D:
249320	249884	+	2	1.250002	I:249861,	D:
250043	250888	+	2	1.164093	I:	D:
250900	252272	+	1	1.204184	I:251863,251905,	D:
252314	254449	+	2	1.161164	I:	D:
254465	254965	+	2	1.155596	I:	D:
255103	257672	+	1	1.186149	I:256778,256832,	D:
257742	258776	+	3	1.171947	I:	D:
258827	259216	+	2	1.163314	I:	D:
259225	259857	+	1	1.140362	I:	D:
260109	261614	+	3	1.157003	I:	D:
261800	262954	+	2	1.178354	I:	D:
262958	265078	+	2	1.121690	I:	D:
265117	267873	+	1	1.151155	I:	D:
267955	268437	-	1	1.156043	I:	D:
268469	268762	-	2	1.156469	I:	D:
268890	269603	-	3	1.188461	I:	D:
269772	270179	+	3	1.209326	I:	D:
270202	270621	+	1	1.173761	I:	D:
270682	271377	+	1	1.153182	I:	D:
271476	272936	+	3	1.149909	I:	D:
272975	273736	+	2	1.152618	I:	D:
273806	274591	+	2	1.144273	I:	D:
274597	275283	+	1	1.191235	I:	D:
275313	276422	+	3	1.134860	I:	D:
276428	277411	+	2	1.161019	I:	D:
277485	279161	+	3	1.145694	I:	D:
279210	280469	+	3	1.164237	I:	D:
280610	282529	+	2	1.178828	I:	D:
282644	285018	+	2	1.187008	I:	D:284506,
285155	286885	+	2	1.156749	I:	D:
287211	288806	+	3	1.172701	I:	D:
289024	291312	-	1	1.357952	I:	D:
291894	292682	-	3	1.129075	I:	D:
292715	292984	-	2	1.151795	I:	D:
292994	293776	-	2	1.122790	I:	D:
293799	294122	-	3	1.075053	I:	D:
294136	295702	-	1	1.172786	I:294701,	D:
295705	296292	-	1	1.174228	I:	D:
296487	297857	-	3	1.131554	I:	D:
297878	298303	-	2	1.157409	I:	D:
298320	301517	-	3	1.137117	I:300546,	D:299801,
301528	303198	-	1	1.147626	I:	D:
303562	303879	+	1	1.133022	I:	D:
304016	304813	-	2	1.191457	I:	D:
304825	306437	-	1	1.188937	I:	D:305155,
306503	306856	-	2	1.206303	I:	D:
306908	307336	-	2	1.242328	I:	D:
307355	308746	-	2	1.174294	I:	D:
308888	309226	-	2	1.240247	I:	D:
309409	310146	+	1	1.188222	I:	D:
310184	312576	-	2	1.146352	I:	D:311361,
312579	314045	-	3	1.175089	I:313629,	D:313658,
314209	315519	+	1	1.155117	I:	D:
315611	316938	+	2	1.170527	I:	D:316448,
316969	318489	+	1	1.153165	I:	D:
318556	319068	-	1	1.177096	I:	D:
319166	319651	-	2	1.148096	I:	D:
319718	320431	-	2	1.203541	I:	D:
320507	323954	-	2	1.165686	I:323145,	D:
324607	324753	-	1	1.290130	I:	D:
324800	325549	+	2	1.174770	I:	D:
325732	326610	+	1	1.129992	I:	D:
326762	327424	+	2	1.174833	I:	D:
327440	328000	+	2	1.172946	I:	D:
328076	328934	+	2	1.186948	I:328184,	D:
328996	329853	+	1	1.157430	I:	D:
329871	331049	+	3	1.183260	I:	D:
331110	332441	+	3	1.188861	I:	D:
332510	334840	+	2	1.197899	I:	D:
334948	335508	+	1	1.215901	I:	D:
335523	336620	+	3	1.203693	I:	D:
336693	337148	+	3	1.219039	I:	D:
337149	340516	+	3	1.160252	I:339123,	D:337935,339726,
340611	341039	+	3	1.223345	I:	D:
341075	341902	-	2	1.223031	I:	D:
341962	342052	-	1	1.284251	I:342044,	D:
342175	344460	+	1	1.147759	I:	D:
344553	345675	-	3	1.175139	I:345245,	D:
345691	348156	-	1	1.181112	I:	D:
348289	349203	-	1	1.137228	I:	D:
349206	349709	-	3	1.155964	I:	D:
349835	350677	-	2	1.127358	I:	D:
350768	351505	-	2	1.147241	I:	D:
351672	352112	+	3	1.130601	I:	D:
352243	353169	+	1	1.138672	I:	D:
353196	354386	+	3	1.159429	I:	D:
354426	354893	-	3	1.192547	I:	D:
354999	355770	+	3	1.193465	I:355422,	D:
355982	358308	+	2	1.150188	I:	D:357130,
358389	359279	+	3	1.121572	I:	D:
359281	359718	+	1	1.171556	I:	D:
359776	360465	+	1	1.140673	I:	D:
360472	361470	-	1	1.123818	I:	D:
361628	364433	+	2	1.141665	I:362745,362781,	D:363379,
364509	365245	+	3	1.177733	I:	D:365233,
365313	366251	+	3	1.164206	I:	D:
366510	367247	+	3	1.132509	I:	D:
367371	368779	+	3	1.137752	I:	D:368101,
368800	370505	+	1	1.108728	I:	D:369551,
370587	372260	-	3	1.162420	I:	D:
372775	374040	+	1	1.158020	I:	D:
374156	375018	-	2	1.185945	I:	D:374211,
375085	376133	-	1	1.162381	I:	D:375875,
376175	376639	-	2	1.200475	I:	D:
376652	377350	-	2	1.152646	I:	D:
377474	378373	-	2	1.100543	I:	D:
378409	378963	+	1	1.196665	I:	D:
379078	379572	-	1	1.150740	I:	D:
379588	380790	-	1	1.092643	I:	D:
380921	382123	-	2	1.140349	I:	D:
382144	383727	-	1	1.138240	I:	D:
383992	384324	+	1	1.176257	I:	D:
384353	385228	-	2	1.126036	I:	D:
385305	387505	+	3	1.148026	I:	D:386434,
387518	388225	+	2	1.127483	I:	D:
388242	389930	-	3	1.130511	I:	D:
390092	391510	-	2	1.141978	I:	D:
391816	393252	+	1	1.151718	I:	D:
393266	393908	-	2	1.207842	I:393378,	D:
393924	395334	-	3	1.211947	I:394093,	D:
395367	395525	-	3	1.243722	I:	D:
395795	396202	-	2	1.111845	I:	D:
396406	396822	+	1	1.216014	I:	D:
396950	397291	+	2	1.285012	I:	D:
397337	398395	+	2	1.162285	I:	D:
398445	399269	-	3	1.129242	I:	D:
399541	399909	+	1	1.159028	I:	D:
399984	400418	-	3	1.150338	I:	D:
400510	403290	-	1	1.145512	I:401296,	D:401354,
403309	403848	-	1	1.150959	I:	D:
403877	404593	-	2	1.172873	I:	D:
404736	406214	-	3	1.122329	I:	D:
406223	410080	-	2	1.152469	I:	D:407379,408331,409310,
410157	411227	+	3	1.158908	I:	D:
411237	411917	+	3	1.143090	I:	D:
412078	412692	+	1	1.211981	I:	D:
412697	414295	-	2	1.109364	I:	D:
414316	415154	-	1	1.140124	I:	D:414410,
415420	419285	+	1	1.145763	I:418477,	D:416501,417588,
419301	419609	+	3	1.175756	I:	D:
419722	421452	+	1	1.177335	I:	D:
421607	421912	+	2	1.201173	I:	D:
421943	422264	+	2	1.203777	I:422259,	D:
422280	422930	-	3	1.237824	I:	D:
423109	424353	+	1	1.181876	I:423800,	D:423773,
424403	424855	+	2	1.157332	I:	D:
424909	425319	+	1	1.185984	I:	D:
425533	426687	-	1	1.156591	I:	D:
426887	427873	+	2	1.166717	I:	D:
427911	428378	-	3	1.201583	I:	D:
428414	429103	+	2	1.188660	I:	D:
429171	430130	-	3	1.131307	I:	D:
430224	430670	+	3	1.145521	I:	D:
430799	431926	+	2	1.145383	I:	D:
431937	433853	-	3	1.132744	I:	D:
433873	434918	-	1	1.142563	I:	D:434362,
434927	435151	-	2	1.206273	I:	D:
435186	435860	-	3	1.162833	I:	D:
435865	435942	-	1	1.214595	I:	D:
435986	436453	-	2	1.215500	I:	D:
436589	437890	+	2	1.112324	I:	D:
438034	441824	+	1	1.118007	I:	D:439197,
441977	442189	+	2	1.242434	I:	D:
442355	443227	+	2	1.145927	I:	D:
443240	444305	-	2	1.181674	I:444266,	D:
444331	444453	-	1	1.242631	I:	D:
444654	446913	+	3	1.217885	I:444688,	D:
446941	447927	-	1	1.147170	I:	D:
448480	454462	+	1	1.127738	I:	D:451391,451733,453363,453846,454123,
454756	455193	+	1	1.140784	I:	D:
455306	457687	+	2	1.149782	I:456143,	D:456652,
457832	459436	+	2	1.146587	I:	D:
459599	460762	+	2	1.098449	I:	D:
460875	461645	+	3	1.116841	I:	D:
461722	463490	+	1	1.132360	I:462717,462734,	D:
463496	464314	+	2	1.117394	I:	D:
464387	464974	+	2	1.181932	I:	D:
465008	465382	-	2	1.218991	I:	D:
465572	466594	-	2	1.168743	I:	D:
466696	466818	-	1	1.223633	I:	D:
466918	467274	+	1	1.193940	I:	D:
467387	468679	-	2	1.118571	I:	D:
468788	469819	+	2	1.121291	I:	D:
469891	470532	-	1	1.120874	I:	D:
470721	473942	+	3	1.185748	I:472269,472281,	D:471475,473163,
474112	474720	+	1	1.173085	I:	D:
474888	474962	+	3	1.198849	I:	D:
475083	475835	+	3	1.204324	I:	D:
475991	476893	+	2	1.194738	I:	D:
477001	478170	+	1	1.154496	I:	D:
478217	479722	+	2	1.147936	I:	D:
479789	480181	-	2	1.200262	I:	D:
480208	482481	-	1	1.114026	I:	D:
482644	482844	+	1	1.173072	I:	D:
483015	483743	+	3	1.191074	I:	D:
483949	485385	+	1	1.119348	I:	D:
485448	486338	-	3	1.160777	I:	D:
486351	487100	-	3	1.146142	I:	D:
487228	487504	+	1	1.294663	I:	D:487283,487454,
487660	488952	-	1	1.159575	I:	D:
489292	491262	+	1	1.131428	I:	D:
491310	491927	-	3	1.168402	I:	D:
491968	492639	+	1	1.133753	I:	D:
492735	493718	-	3	1.156514	I:	D:
493741	496525	-	1	1.138488	I:495408,	D:
496720	497628	+	1	1.149731	I:	D:
497641	498363	+	1	1.163776	I:	D:
498448	499750	-	1	1.169531	I:499709,	D:
499774	500727	-	1	1.131326	I:	D:
500814	501719	+	3	1.156221	I:	D:
502065	503111	+	3	1.160484	I:	D:
503122	505022	+	1	1.132274	I:	D:503729,
505103	505786	+	2	1.145849	I:	D:
505879	507225	+	1	1.110179	I:	D:
507404	508315	+	2	1.140650	I:	D:
508417	509223	+	1	1.161165	I:	D:
509519	510769	+	2	1.142220	I:	D:
510815	511666	+	2	1.135787	I:	D:
511668	514072	+	3	1.132322	I:512630,513345,	D:
514165	515235	-	1	1.180243	I:	D:
515575	517369	-	1	1.154491	I:516920,	D:
517377	518351	-	3	1.175807	I:	D:
518656	519399	+	1	1.149886	I:	D:
519570	520079	+	3	1.151338	I:	D:
520166	523789	+	2	1.133190	I:	D:
523820	524881	-	2	1.128476	I:	D:
525047	525963	+	2	1.176871	I:	D:525791,
525990	527347	+	3	1.176064	I:	D:526604,
527465	529759	-	2	1.164248	I:	D:
529782	529985	-	3	1.237410	I:	D:
530032	530664	-	1	1.231124	I:	D:
530903	532554	-	2	1.178079	I:	D:531833,
532832	533602	+	2	1.148840	I:	D:
533746	534339	-	1	1.172064	I:	D:
534546	536992	-	3	1.158369	I:536643,536722,	D:
537281	538750	+	2	1.148529	I:	D:
538918	540502	+	1	1.142843	I:540471,	D:
540591	541216	-	3	1.352433	I:	D:540896,
541512	542588	-	3	1.186745	I:	D:
542621	543355	+	2	1.104013	I:	D:
543534	544898	-	3	1.116440	I:	D:
544901	546061	-	2	1.161385	I:	D:
546288	547908	+	3	1.124413	I:547871,	D:
548039	549710	-	2	1.170264	I:548050,	D:
549855	550478	+	3	1.144834	I:	D:
550509	551732	+	3	1.168572	I:	D:
551917	553329	+	1	1.183303	I:	D:
553521	556087	+	3	1.150558	I:	D:554564,
556159	557076	-	1	1.150824	I:	D:
557262	557960	+	3	1.155370	I:	D:
558111	559016	+	3	1.151364	I:	D:
559075	560813	-	1	1.221611	I:	D:559708,
561254	562231	+	2	1.145268	I:	D:
562316	564735	-	2	1.127418	I:	D:563111,
564932	565957	-	2	1.143334	I:	D:
566274	567050	+	3	1.159351	I:	D:
567160	568137	-	1	1.129689	I:	D:
568192	569930	-	1	1.133103	I:	D:568576,
570055	570924	+	1	1.119162	I:	D:
571059	571445	+	3	1.126743	I:	D:
571482	573572	+	3	1.128629	I:	D:
573654	574604	+	3	1.131772	I:	D:
574609	574692	+	1	1.261877	I:	D:
574724	575224	+	2	1.182967	I:	D:
576027	577286	+	3	1.202235	I:	D:
577330	581867	+	1	1.157411	I:	D:579794,
581923	583077	+	1	1.158762	I:	D:
583085	584425	+	2	1.166352	I:	D:
584435	588267	+	2	1.181204	I:585146,586280,	D:
588314	589555	+	2	1.214230	I:	D:
589624	590229	-	1	1.190394	I:	D:
590522	591649	+	2	1.146509	I:	D:
591862	593848	+	1	1.148752	I:592561,	D:
593997	595100	+	3	1.146835	I:	D:
595184	596068	+	2	1.181546	I:	D:
596146	597234	-	1	1.180411	I:	D:
597282	598133	-	3	1.168320	I:	D:
598152	599033	-	3	1.162612	I:	D:
599268	600542	-	3	1.177523	I:	D:
600776	601609	+	2	1.162210	I:	D:
601636	602160	+	1	1.118795	I:	D:
602589	603671	+	3	1.155694	I:	D:
603907	606023	+	1	1.162320	I:	D:604786,
606056	606787	+	2	1.140502	I:	D:
606788	607489	+	2	1.171109	I:	D:
607688	607942	-	2	1.322567	I:	D:
608063	611829	-	2	1.175625	I:609383,	D:608616,610853,
611949	612902	+	3	1.147288	I:	D:
612975	613589	-	3	1.159541	I:	D:
613644	614881	+	3	1.187134	I:	D:613684,
614887	615528	+	1	1.141683	I:	D:
615581	616489	-	2	1.117336	I:	D:
616566	616943	-	3	1.116957	I:	D:
617070	618131	-	3	1.137143	I:	D:
618157	619392	-	1	1.165495	I:	D:
619578	620321	+	3	1.132387	I:	D:
620539	621276	+	1	1.264220	I:	D:
621341	622279	-	2	1.176041	I:	D:
622294	623254	+	1	1.179197	I:622409,	D:
623407	624378	+	1	1.161514	I:	D:
624388	625599	-	1	1.139325	I:	D:
625692	626147	+	3	1.188742	I:	D:
626205	628693	-	3	1.157265	I:627434,627491,	D:
628856	629722	-	2	1.183787	I:	D:
629873	631480	-	2	1.134712	I:	D:
631504	631657	-	1	1.259331	I:631644,	D:
631712	632593	-	2	1.146763	I:	D:
632606	633337	-	2	1.167301	I:	D:
633580	634211	-	1	1.252313	I:633651,633737,	D:
634334	634936	-	2	1.208048	I:	D:
635054	636298	+	2	1.185489	I:	D:
636363	637484	-	3	1.137235	I:	D:
637686	638912	+	3	1.169796	I:	D:
638946	640661	-	3	1.173765	I:	D:
640731	641639	-	3	1.145565	I:	D:
641744	643029	+	2	1.156751	I:	D:642986,
643064	643268	-	2	1.242730	I:643071,	D:
643570	644283	+	1	1.154119	I:	D:
644467	647481	+	1	1.184138	I:646774,	D:646798,
647609	647962	+	2	1.227031	I:	D:
648076	649515	-	1	1.204282	I:	D:
649730	650680	-	2	1.189179	I:	D:
650846	652216	+	2	1.159093	I:	D:
652251	652640	-	3	1.209390	I:	D:
652797	653075	+	3	1.209542	I:	D:
653114	653557	-	2	1.176584	I:	D:
653615	654868	+	2	1.178522	I:654208,	D:654189,
654900	655787	-	3	1.166869	I:	D:
655897	656235	-	1	1.157524	I:	D:
656622	656798	+	3	1.131274	I:	D:
656818	657849	-	1	1.211715	I:	D:
657980	658534	+	2	1.176065	I:	D:
658610	658774	+	2	1.265164	I:	D:
658816	658968	+	1	1.236054	I:	D:
659073	660251	-	3	1.165859	I:	D:
660362	661309	+	2	1.156165	I:	D:
661335	662204	-	3	1.172693	I:	D:
662298	664421	-	3	1.154815	I:	D:
664798	665670	+	1	1.162865	I:	D:
665834	666228	-	2	1.292996	I:665843,665861,	D:
666341	667438	+	2	1.153546	I:	D:
667440	669617	-	3	1.179118	I:	D:
669666	670070	-	3	1.147923	I:	D:
670112	670977	-	2	1.170720	I:	D:670876,
670998	671444	-	3	1.173328	I:	D:
671794	675162	-	1	1.187818	I:672409,674483,	D:672562,672705,
675781	677364	+	1	1.120286	I:	D:
677733	678477	+	3	1.214881	I:677738,	D:
678565	679497	+	1	1.178310	I:	D:
679564	680673	+	1	1.191039	I:	D:
680701	682014	-	1	1.162957	I:	D:
682273	683532	+	1	1.147428	I:	D:
683600	684412	-	2	1.151928	I:	D:
684501	685397	-	3	1.135745	I:	D:
685493	685966	+	2	1.129417	I:	D:
685998	687203	-	3	1.125475	I:	D:
687355	687687	+	1	1.179305	I:	D:
687701	689230	-	2	1.143015	I:	D:
689234	689704	-	2	1.155737	I:	D:
690082	697631	+	1	1.137347	I:690541,693333,	D:691506,692726,696182,
697640	698848	+	2	1.102023	I:	D:
699093	700328	+	3	1.167672	I:	D:
700458	701672	+	3	1.240987	I:	D:
701944	714165	+	1	1.152481	I:	D:
714261	714347	-	3	1.184183	I:	D:
714351	715010	+	3	1.185228	I:	D:
715041	715540	+	3	1.153530	I:	D:715521,
715656	716639	+	3	1.129613	I:	D:
716776	717363	+	1	1.186128	I:	D:
717493	719184	+	1	1.172011	I:718083,718657,718726,	D:
719195	720282	+	2	1.141431	I:719271,	D:719208,719616,
720452	720892	+	2	1.126518	I:	D:
720913	722051	-	1	1.203391	I:	D:721483,
722200	722457	+	1	1.153776	I:	D:
722458	722634	-	1	1.219344	I:	D:
723020	723157	+	2	1.241992	I:	D:
723256	725019	-	1	1.167675	I:	D:
725205	725669	-	3	1.233914	I:	D:
725797	726157	+	1	1.164397	I:726151,	D:
726201	727754	-	3	1.170475	I:	D:
727844	729061	-	2	1.176535	I:	D:
729193	730318	+	1	1.206078	I:729197,730211,	D:729951,
730441	730899	+	1	1.249305	I:	D:
730945	734032	-	1	1.176646	I:732333,732440,	D:733283,
734038	735051	-	1	1.179894	I:	D:
735220	736249	+	1	1.165163	I:735226,	D:
736275	737240	-	3	1.193713	I:	D:
737294	738805	-	2	1.207647	I:	D:
738953	740928	+	2	1.220118	I:739801,740924,	D:
741036	742511	-	3	1.219304	I:	D:
742602	745585	-	3	1.180645	I:744666,744788,745215,745233,	D:743239,744737,
745961	747031	+	2	1.127124	I:	D:
747104	748210	+	2	1.124622	I:	D:
748402	749127	+	1	1.173134	I:	D:
749339	750475	+	2	1.182796	I:	D:
750505	751653	+	1	1.179113	I:	D:
751683	752537	-	3	1.168116	I:	D:
752595	753998	-	3	1.116031	I:	D:
754314	754964	-	3	1.169087	I:	D:
755043	758516	-	3	1.157448	I:756545,	D:757523,
758542	759417	-	1	1.107410	I:	D:
759432	762057	-	3	1.163135	I:760409,760482,	D:760472,
762102	763547	-	3	1.150424	I:	D:
763577	763954	-	2	1.158171	I:	D:
763969	765111	-	1	1.144261	I:	D:
765231	765578	+	3	1.171399	I:	D:
765694	766428	-	1	1.154012	I:	D:
766647	768507	+	3	1.135316	I:767485,	D:
768574	769674	+	1	1.169008	I:	D:
769704	770195	+	3	1.165053	I:	D:
770218	771486	+	1	1.181392	I:	D:
771489	773032	+	3	1.131689	I:	D:771805,
773051	773458	+	2	1.158502	I:	D:
773508	774308	+	3	1.118043	I:	D:
774410	775390	+	2	1.145922	I:	D:
775464	777190	-	3	1.157310	I:	D:775941,
777302	777832	-	2	1.186393	I:	D:
777911	778378	+	2	1.176003	I:	D:
778475	779101	-	2	1.131662	I:	D:
779277	782588	-	3	1.161619	I:780319,	D:781339,
782596	782670	+	1	1.224307	I:	D:
782905	783837	-	1	1.138944	I:	D:
784009	785709	-	1	1.165489	I:	D:
786160	787294	-	1	1.159203	I:787186,	D:
787383	788000	+	3	1.155788	I:	D:
788002	788784	-	1	1.198996	I:	D:
788813	789442	+	2	1.178313	I:	D:
789549	790775	+	3	1.171749	I:	D:
790844	791149	+	2	1.245425	I:	D:
791361	791951	-	3	1.201935	I:	D:
792237	794376	+	3	1.144402	I:792246,	D:
794428	795321	-	1	1.223328	I:794641,794671,794714,	D:
795347	796807	-	2	1.118988	I:	D:
796813	799956	-	1	1.153912	I:	D:
800025	801179	-	3	1.146225	I:	D:
801383	801949	+	2	1.188318	I:	D:
801960	802034	-	3	1.131014	I:	D:
802134	803807	-	3	1.165727	I:	D:
803898	806297	-	3	1.156429	I:	D:
806442	807918	-	3	1.164432	I:807428,	D:
807999	809000	+	3	1.149253	I:	D:
809118	811532	+	3	1.148158	I:	D:
811575	812114	-	3	1.146678	I:	D:
812227	815221	-	1	1.142649	I:	D:812989,814092,
815241	816356	-	3	1.161515	I:	D:
816371	816485	-	2	1.200227	I:816395,	D:
816490	817587	-	1	1.127384	I:	D:
817747	818661	+	1	1.139853	I:	D:
818665	820788	-	1	1.189079	I:818675,	D:820730,
820808	824835	-	2	1.144467	I:821286,821338,	D:822230,823059,823901,
824846	826399	-	2	1.158307	I:	D:
